Step,A_Role-Conforming,A_Norm-Breaking,B_Role-Conforming,B_Norm-Breaking
1,331,169,222,278
2,294,206,251,249
3,293,207,246,254
4,283,217,245,255
5,270,230,258,242
6,274,226,252,248
7,278,222,251,249
8,264,236,254,246
9,244,256,243,257
10,239,261,255,245
11,255,245,257,243
12,256,244,241,259
13,264,236,244,256
14,237,263,250,250
15,240,260,245,255
16,242,258,253,247
17,253,247,240,260
18,254,246,247,253
19,254,246,229,271
20,247,253,230,270
21,258,242,253,247
22,242,258,268,232
23,268,232,254,246
24,253,247,270,230
25,241,259,240,260
26,252,248,228,272
27,252,248,255,245
28,249,251,264,236
29,235,265,251,249
30,235,265,246,254
